MAS,YAHOO,Masco Corporation,United States,Industrial Goods,General Building Materials
VMC,YAHOO,Vulcan Materials Company,United States,Industrial Goods,General Building Materials
FLR,YAHOO,Fluor Corporation,United States,Industrial Goods,Heavy Construction
EMR,YAHOO,Emerson Electric Co.,United States,Industrial Goods,Industrial Electrical Equipment
PH,YAHOO,Parker-Hannifin Corporation,United States,Industrial Goods,Industrial Equipment & Components
WY,YAHOO,Weyerhaeuser Co.,United States,Industrial Goods,Lumber
ATI,YAHOO,Allegheny Technologies Inc.,United States,Industrial Goods,Metal Fabrication
DHI,YAHOO,DR Horton Inc.,United States,Industrial Goods,Residential Construction
LEN,YAHOO,Lennar Corporation,United States,Industrial Goods,Residential Construction
SNA,YAHOO,Snap-on Incorporated,United States,Industrial Goods,Small Tools & Accessories
BRK-B,YAHOO,Berkshire Hathaway Inc.,United States,N/A1,N/A1
OMC,YAHOO,Omnicom Group Inc.,United States,Services,Advertising Agencies
CHRW,YAHOO,CH Robinson Worldwide Inc.,United States,Services,Air Delivery & Freight Services
EXPD,YAHOO,Expeditors International of Washington Inc.,United States,Services,Air Delivery & Freight Services
FDX,YAHOO,FedEx Corporation,United States,Services,Air Delivery & Freight Services
ANF,YAHOO,Abercrombie & Fitch Co.,United States,Services,Apparel Stores
JWN,YAHOO,Nordstrom Inc.,United States,Services,Apparel Stores
ROST,YAHOO,Ross Stores Inc.,United States,Services,Apparel Stores
URBN,YAHOO,Urban Outfitters Inc.,United States,Services,Apparel Stores
KMX,YAHOO,CarMax Inc.,United States,Services,Auto Dealerships
ORLY,YAHOO,O'Reilly Automotive Inc.,United States,Services,Auto Parts Stores
CTAS,YAHOO,Cintas Corporation,United States,Services,Business Services
MCO,YAHOO,Moody's Corporation,United States,Services,Business Services
PCLN,YAHOO,The Priceline Group Inc.,United States,Services,Business Services
RRD,YAHOO,R.R. Donnelley & Sons Company,United States,Services,Business Services
KSS,YAHOO,Kohl's Corp.,United States,Services,Department Stores
SHLD,YAHOO,Sears Holdings Corporation,United States,Services,Department Stores
TJX,YAHOO,North Atlantic Drilling Limited,Bermuda,Services,Department Stores
BIG,YAHOO,Big Lots Inc.,United States,Services,Discount
COST,YAHOO,Costco Wholesale Corporation,United States,Services,Discount
TGT,YAHOO,Target Corp.,United States,Services,Discount
WMT,YAHOO,Wal-Mart Stores Inc.,United States,Services,Discount
ABC,YAHOO,AmerisourceBergen Corporation,United States,Services,Drugs Wholesale
MCK,YAHOO,McKesson Corporation,United States,Services,Drugs Wholesale
DV,YAHOO,DeVry Education Group Inc.,United States,Services,Education & Training Services
GME,YAHOO,GameStop Corp.,United States,Services,Electronics Stores
CBS,YAHOO,CBS Corporation,United States,Services,Entertainment - Diversified
CMCSA,YAHOO,Comcast Corporation,United States,Services,Entertainment - Diversified
DIS,YAHOO,The Walt Disney Company,United States,Services,Entertainment - Diversified
TWX,YAHOO,Time Warner Inc.,United States,Services,Entertainment - Diversified
SYY,YAHOO,Sysco Corporation,United States,Services,Food Wholesale
IGT,YAHOO,International Game Technology PLC,United Kingdom,Services,Gaming Activities
KR,YAHOO,The Kroger Co.,United States,Services,Grocery Stores
SVU,YAHOO,SUPERVALU Inc.,United States,Services,Grocery Stores
BBBY,YAHOO,Bed Bath & Beyond Inc.,United States,Services,Home Furnishing Stores
FAST,YAHOO,Fastenal Company,United States,Services,Industrial Equipment Wholesale
TIF,YAHOO,Tiffany & Co.,United States,Services,Jewelry Stores
EXPE,YAHOO,Expedia Inc.,United States,Services,Lodging
WYN,YAHOO,Wyndham Worldwide Corporation,United States,Services,Lodging
CSX,YAHOO,CSX Corp.,United States,Services,Railroads
NSC,YAHOO,Norfolk Southern Corporation,United States,Services,Railroads
UNP,YAHOO,Union Pacific Corporation,United States,Services,Railroads
LUV,YAHOO,Southwest Airlines Co.,United States,Services,Regional Airlines
CCL,YAHOO,Carnival Corporation,United States,Services,Resorts & Casinos
WYNN,YAHOO,Wynn Resorts Ltd.,United States,Services,Resorts & Casinos
MCD,YAHOO,McDonald's Corp.,United States,Services,Restaurants
SBUX,YAHOO,Starbucks Corporation,United States,Services,Specialty Eateries
EBAY,YAHOO,eBay Inc.,United States,Services,Specialty Retail
GPC,YAHOO,Genuine Parts Company,United States,Services,Specialty Retail
RHI,YAHOO,Robert Half International Inc.,United States,Services,Staffing & Outsourcing Services
JEC,YAHOO,Jacobs Engineering Group Inc.,United States,Services,Technical Services
ADBE,YAHOO,Adobe Systems Incorporated,United States,Technology,Application Software
INTU,YAHOO,Intuit Inc.,United States,Technology,Application Software
ORCL,YAHOO,Oracle Corporation,United States,Technology,Application Software
CTSH,YAHOO,Cognizant Technology Solutions Corporation,United States,Technology,Business Software & Services
IRM,YAHOO,Iron Mountain Incorporated,United States,Technology,Business Software & Services
MSFT,YAHOO,Microsoft Corporation,United States,Technology,Business Software & Services
HRS,YAHOO,Harris Corporation,United States,Technology,Communication Equipment
QCOM,YAHOO,QUALCOMM Incorporated,United States,Technology,Communication Equipment
VIAV,YAHOO,Viavi Solutions Inc.,United States,Technology,Communication Equipment
LXK,YAHOO,Lexmark International Inc.,United States,Technology,Computer Based Systems
TDC,YAHOO,Teradata Corporation,United States,Technology,Data Storage Devices
WDC,YAHOO,Western Digital Corporation,United States,Technology,Data Storage Devices
HPQ,YAHOO,HP Inc.,United States,Technology,Diversified Computer Systems
APH,YAHOO,Amphenol Corporation,United States,Technology,Diversified Electronics
GLW,YAHOO,Corning Incorporated,United States,Technology,Diversified Electronics
TEL,YAHOO,TE Connectivity Ltd.,Switzerland,Technology,Diversified Electronics
CERN,YAHOO,Cerner Corporation,United States,Technology,Healthcare Information Services
DNB,YAHOO,The Dun & Bradstreet Corporation,United States,Technology,Information & Delivery Services
ACN,YAHOO,Accenture plc,Ireland,Technology,Information Technology Services
CSC,YAHOO,Computer Sciences Corporation,United States,Technology,Information Technology Services
IBM,YAHOO,International Business Machines Corporation,United States,Technology,Information Technology Services
XRX,YAHOO,Xerox Corporation,United States,Technology,Information Technology Services
GOOGL,YAHOO,Alphabet Inc.,United States,Technology,Internet Information Providers
TRIP,YAHOO,TripAdvisor Inc.,United States,Technology,Internet Information Providers
YHOO,YAHOO,Yahoo! Inc.,United States,Technology,Internet Information Providers
EA,YAHOO,Electronic Arts Inc.,United States,Technology,Multimedia & Graphics Software
JBL,YAHOO,Jabil Circuit Inc.,United States,Technology,Printed Circuit Boards
SYMC,YAHOO,Symantec Corporation,United States,Technology,Security Software & Services
INTC,YAHOO,Intel Corporation,United States,Technology,Semiconductor - Broad Line
TXN,YAHOO,Texas Instruments Inc.,United States,Technology,Semiconductor - Broad Line
XLNX,YAHOO,Xilinx Inc.,United States,Technology,Semiconductor - Integrated Circuits
LLTC,YAHOO,Linear Technology Corporation,United States,Technology,Semiconductor - Specialized
MCHP,YAHOO,Microchip Technology Inc.,United States,Technology,Semiconductor - Specialized
NVDA,YAHOO,NVIDIA Corporation,United States,Technology,Semiconductor - Specialized
